id_kelurahan,nama_kelurahan,latitude,longitude,adm4,adm2,nama_kota
3577011001,Oro-oro Ombo,-7.6208950015,111.5307043897,35.77.01.1001,3577,Kota Madiun
3577011002,Sukosari,-7.614516926,111.53367863,35.77.01.1002,3577,Kota Madiun
3577011003,Klegen,-7.6287125516,111.5365054717,35.77.01.1003,3577,Kota Madiun
3577011004,Rejomulyo,-7.6152748338,111.543361191,35.77.01.1004,3577,Kota Madiun
3577011005,Pilangbango,-7.6166384493,111.5499246473,35.77.01.1005,3577,Kota Madiun
3577011006,Tawangrejo,-7.60470487,111.5419040653,35.77.01.1006,3577,Kota Madiun
3577011007,Kanigoro,-7.6309590965,111.5462148432,35.77.01.1007,3577,Kota Madiun
3577011008,Kartoharjo,-7.6278713593,111.5245759072,35.77.01.1008,3577,Kota Madiun
3577011009,Kelun,-7.6014409489,111.5528087997,35.77.01.1009,3577,Kota Madiun
3577021001,Manguharjo,-7.6296455746,111.5042717108,35.77.02.1001,3577,Kota Madiun
3577021002,Sogaten,-7.6041208642,111.5232621541,35.77.02.1002,3577,Kota Madiun
3577021003,Patihan,-7.6059625791,111.5300214177,35.77.02.1003,3577,Kota Madiun
3577021004,Ngegong,-7.6088591265,111.5110868481,35.77.02.1004,3577,Kota Madiun
3577021005,Winongo,-7.6171878314,111.5129234187,35.77.02.1005,3577,Kota Madiun
3577021006,Madiun Lor,-7.6180029219,111.5231984695,35.77.02.1006,3577,Kota Madiun
3577021007,Pangongangan,-7.632488467,111.5129272717,35.77.02.1007,3577,Kota Madiun
3577021008,Nambangan Lor,-7.6345082634,111.5142139,35.77.02.1008,3577,Kota Madiun
3577021009,Nambangan Kidul,-7.64502224,111.514693238,35.77.02.1009,3577,Kota Madiun
3577031001,Mojorejo,-7.6374584276,111.5347072737,35.77.03.1001,3577,Kota Madiun
3577031002,Pandean,-7.6450419294,111.5242812111,35.77.03.1002,3577,Kota Madiun
3577031003,Banjarejo,-7.6541330655,111.534583248,35.77.03.1003,3577,Kota Madiun
3577031004,Kuncen,-7.6546192079,111.5149847313,35.77.03.1004,3577,Kota Madiun
3577031005,Manisrejo,-7.641847093,111.5442390209,35.77.03.1005,3577,Kota Madiun
3577031006,Kejuron,-7.6341689131,111.5248033399,35.77.03.1006,3577,Kota Madiun
3577031007,Josenan,-7.6630643743,111.5131025344,35.77.03.1007,3577,Kota Madiun
3577031008,Demangan,-7.6622524402,111.520133868,35.77.03.1008,3577,Kota Madiun
3577031009,Taman,-7.6410832847,111.5250858821,35.77.03.1009,3577,Kota Madiun
